Mach; nu; mu
0.6200E+01; 0.8629E+02; 0.9282E+01
0.6300E+01; 0.8694E+02; 0.9133E+01
0.6400E+01; 0.8756E+02; 0.8989E+01
0.6500E+01; 0.8817E+02; 0.8850E+01
0.6600E+01; 0.8876E+02; 0.8715E+01
0.6700E+01; 0.8933E+02; 0.8584E+01
0.6800E+01; 0.8989E+02; 0.8457E+01
0.6900E+01; 0.9044E+02; 0.8333E+01
0.7000E+01; 0.9097E+02; 0.8213E+01
0.7100E+01; 0.9149E+02; 0.8097E+01
0.7200E+01; 0.9200E+02; 0.7984E+01
0.7300E+01; 0.9249E+02; 0.7873E+01
0.7400E+01; 0.9297E+02; 0.7766E+01
0.7500E+01; 0.9344E+02; 0.7662E+01
0.7600E+01; 0.9390E+02; 0.7561E+01
0.7700E+01; 0.9434E+02; 0.7462E+01
0.7800E+01; 0.9478E+02; 0.7366E+01
0.7900E+01; 0.9521E+02; 0.7272E+01
0.8000E+01; 0.9562E+02; 0.7181E+01
0.9000E+01; 0.9932E+02; 0.6379E+01
0.1000E+02; 0.1023E+03; 0.5739E+01
0.1100E+02; 0.1048E+03; 0.5216E+01
0.1200E+02; 0.1069E+03; 0.4780E+01
0.1300E+02; 0.1087E+03; 0.4412E+01
0.1400E+02; 0.1102E+03; 0.4096E+01
0.1500E+02; 0.1115E+03; 0.3823E+01
0.1600E+02; 0.1127E+03; 0.3583E+01
0.1700E+02; 0.1137E+03; 0.3372E+01
0.1800E+02; 0.1146E+03; 0.3185E+01
0.1900E+02; 0.1155E+03; 0.3017E+01
0.2000E+02; 0.1162E+03; 0.2866E+01
0.2200E+02; 0.1175E+03; 0.2605E+01
0.2400E+02; 0.1186E+03; 0.2388E+01
0.2600E+02; 0.1195E+03; 0.2204E+01
0.2800E+02; 0.1202E+03; 0.2047E+01
0.3000E+02; 0.1209E+03; 0.1910E+01
0.3200E+02; 0.1215E+03; 0.1791E+01
0.3400E+02; 0.1220E+03; 0.1685E+01
0.3600E+02; 0.1225E+03; 0.1592E+01
0.3800E+02; 0.1229E+03; 0.1508E+01
0.4000E+02; 0.1233E+03; 0.1433E+01
0.4200E+02; 0.1236E+03; 0.1364E+01
0.4400E+02; 0.1239E+03; 0.1302E+01
0.4600E+02; 0.1242E+03; 0.1246E+01
0.4800E+02; 0.1245E+03; 0.1194E+01
0.5000E+02; 0.1247E+03; 0.1146E+01
