ISENTROPIC FLOW PROPERTIES

0.8800 * 1e+0; 0.1655 * 1e+1; 0.1433 * 1e+1; 0.1155 * 1e+1; 0.1013 * 1e+1
0.9000 * 1e+0; 0.1691 * 1e+1; 0.1456 * 1e+1; 0.1162 * 1e+1; 0.1009 * 1e+1
0.9200 * 1e+0; 0.1729 * 1e+1; 0.1478 * 1e+1; 0.1169 * 1e+1; 0.1006 * 1e+1
0.9400 * 1e+0; 0.1767 * 1e+1; 0.1502 * 1e+1; 0.1177 * 1e+1; 0.1003 * 1e+1
0.9600 * 1e+0; 0.1808 * 1e+1; 0.1526 * 1e+1; 0.1184 * 1e+1; 0.1001 * 1e+1
0.9800 * 1e+0; 0.1850 * 1e+1; 0.1552 * 1e+1; 0.1192 * 1e+1; 0.1000 * 1e+1
0.1000 * 1e+1; 0.1893 * 1e+1; 0.1577 * 1e+1; 0.1200 * 1e+1; 0.1000 * 1e+1
0.1020 * 1e+1; 0.1938 * 1e+1; 0.1604 * 1e+1; 0.1208 * 1e+1; 0.1000 * 1e+1
0.1040 * 1e+1; 0.1985 * 1e+1; 0.1632 * 1e+1; 0.1216 * 1e+1; 0.1001 * 1e+1
0.1060 * 1e+1; 0.2033 * 1e+1; 0.1660 * 1e+1; 0.1225 * 1e+1; 0.1003 * 1e+1
0.1080 * 1e+1; 0.2083 * 1e+1; 0.1689 * 1e+1; 0.1233 * 1e+1; 0.1005 * 1e+1
0.1100 * 1e+1; 0.2135 * 1e+1; 0.1719 * 1e+1; 0.1242 * 1e+1; 0.1008 * 1e+1
0.1120 * 1e+1; 0.2189 * 1e+1; 0.1750 * 1e+1; 0.1251 * 1e+1; 0.1011 * 1e+1
0.1140 * 1e+1; 0.2245 * 1e+1; 0.1782 * 1e+1; 0.1260 * 1e+1; 0.1015 * 1e+1
0.1160 * 1e+1; 0.2303 * 1e+1; 0.1814 * 1e+1; 0.1269 * 1e+1; 0.1020 * 1e+1
0.1180 * 1e+1; 0.2363 * 1e+1; 0.1848 * 1e+1; 0.1278 * 1e+1; 0.1025 * 1e+1
0.1200 * 1e+1; 0.2425 * 1e+1; 0.1883 * 1e+1; 0.1288 * 1e+1; 0.1030 * 1e+1
0.1220 * 1e+1; 0.2489 * 1e+1; 0.1918 * 1e+1; 0.1298 * 1e+1; 0.1037 * 1e+1
0.1240 * 1e+1; 0.2556 * 1e+1; 0.1955 * 1e+1; 0.1308 * 1e+1; 0.1043 * 1e+1
0.1260 * 1e+1; 0.2625 * 1e+1; 0.1992 * 1e+1; 0.1318 * 1e+1; 0.1050 * 1e+1
0.1280 * 1e+1; 0.2697 * 1e+1; 0.2031 * 1e+1; 0.1328 * 1e+1; 0.1058 * 1e+1
0.1300 * 1e+1; 0.2771 * 1e+1; 0.2071 * 1e+1; 0.1338 * 1e+1; 0.1066 * 1e+1
0.1320 * 1e+1; 0.2847 * 1e+1; 0.2112 * 1e+1; 0.1348 * 1e+1; 0.1075 * 1e+1
0.1340 * 1e+1; 0.2927 * 1e+1; 0.2153 * 1e+1; 0.1359 * 1e+1; 0.1084 * 1e+1
0.1360 * 1e+1; 0.3009 * 1e+1; 0.2197 * 1e+1; 0.1370 * 1e+1; 0.1094 * 1e+1
0.1380 * 1e+1; 0.3094 * 1e+1; 0.2241 * 1e+1; 0.1381 * 1e+1; 0.1104 * 1e+1
0.1400 * 1e+1; 0.3182 * 1e+1; 0.2286 * 1e+1; 0.1392 * 1e41; 0.1115 * 1e+1
0.1420 * 1e+1; 0.3273 * 1e+1; 0.2333 * 1e+1; 0.1403 * 1e+1; 0.1126 * 1e+1
0.1440 * 1e+1; 0.3368 * 1e+1; 0.2381 * 1e+1; 0.1415 * 1e+1; 0.1138 * 1e+1
0.1460 * 1e+1; 0.3465 * 1e+1; 0.2430 * 1e+1; 0.1426 * 1e+1; 0.1150 * 1e+1
0.1480 * 1e+1; 0.3566 * 1e+1; 0.2480 * 1e+1; 0.1438 * 1e+1; 0.1163 * 1e+1
0.1500 * 1e+1; 0.3671 * 1e+1; 0.2532 * 1e+1; 0.1450 * 1e+1; 0.1176 * 1e+1
0.1520 * 1e+1; 0.3779 * 1e+1; 0.2585 * 1e+1; 0.1462 * 1e+1; 0.1190 * 1e+1
0.1540 * 1e+1; 0.3891 * 1e+1; 0.2639 * 1e+1; 0.1474 * 1e+1; 0.1204 * 1e+1
0.1560 * 1e+1; 0.4007 * 1e+1; 0.2695 * 1e+1; 0.1487 * 1e+1; 0.1219 * 1e+1
0.1580 * 1e+1; 0.4127 * 1e+1; 0.2752 * 1e+1; 0.1499 * 1e+1; 0.1234 * 1e+1
0.1600 * 1e+1; 0.4250 * 1e+1; 0.2811 * 1e+1; 0.1512 * 1e+1; 0.1250 * 1e+1
